enquiry_id,enquiry_text,industry,primary_service,budget_inr,urgency_hint
1,"Looking for help with Website Development for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Retail,Website Development,75000,Low
2,"We need a E-commerce Development and would like someone to contact us regarding the project. Our business is in Healthcare. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Healthcare,E-commerce Development,25000,High
3,"Looking for help with Website Development for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",CA/Accounting,Website Development,25000,Low
4,"We need a Website Development and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",E-commerce,Website Development,50000,High
5,"Looking for help with Training/Courses for our Education company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Education,Training/Courses,75000,Low
6,"Looking for help with Data Analytics for our Manufacturing company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Manufacturing,Data Analytics,75000,Low
7,"We are a Hospitality business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000. We are planning this project within the next month.",Hospitality,E-commerce Development,25000,Medium
8,"We need a Data Analytics and would like someone to contact us regarding the project. Our business is in Hospitality. Our approximate budget is ₹75,000.",Hospitality,Data Analytics,75000,Low
9,"Can JZD help us build a E-commerce Development? We are in the E-commerce sector and want to get started soon. Our approximate budget is ₹150,000.",E-commerce,E-commerce Development,150000,Low
10,"We are a Logistics business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Logistics,Data Analytics,50000,High
11,"Looking for help with Chatbot for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",CA/Accounting,Chatbot,75000,Low
12,"Can JZD help us build a Mobile App? We are in the Retail sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",Retail,Mobile App,75000,Medium
13,"Can JZD help us build a Data Analytics? We are in the Healthcare sector and want to get started soon. Our approximate budget is ₹100,000.",Healthcare,Data Analytics,100000,Low
14,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹50,000.",Retail,AI/ML Solution,50000,Low
15,"Can JZD help us build a Automation? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Manufacturing,Automation,50000,High
16,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in CA/Accounting. Our approximate budget is ₹15,000. We are planning this project within the next month.",CA/Accounting,Chatbot,15000,Medium
17,"Can JZD help us build a E-commerce Development? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Real Estate,E-commerce Development,50000,High
18,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Education,Training/Courses,150000,High
19,"Can JZD help us build a Automation? We are in the Healthcare sector and want to get started soon. Our approximate budget is ₹35,000.",Healthcare,Automation,35000,Low
20,"Looking for help with Mobile App for our Logistics company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We are planning this project within the next month.",Logistics,Mobile App,150000,Medium
21,"We are a Healthcare business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000.",Healthcare,Training/Courses,25000,Low
22,"We are a Healthcare business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Healthcare,AI/ML Solution,150000,High
23,"Can JZD help us build a Mobile App? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Manufacturing,Mobile App,250000,High
24,"Can JZD help us build a Website Development? We are in the E-commerce sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",E-commerce,Website Development,25000,High
25,"Looking for help with E-commerce Development for our Hospitality company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We are planning this project within the next month.",Hospitality,E-commerce Development,75000,Medium
26,"Looking for help with Website Development for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",Professional Services,Website Development,75000,High
27,"Looking for help with E-commerce Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",E-commerce,E-commerce Development,75000,High
28,"We are a Healthcare business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",Healthcare,Data Analytics,35000,High
29,"We are a Logistics business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000.",Logistics,Data Analytics,250000,Low
30,"Looking for help with Automation for our Hospitality company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000.",Hospitality,Automation,50000,Low
31,"We need a E-commerce Development and would like someone to contact us regarding the project. Our business is in Logistics. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Logistics,E-commerce Development,25000,High
32,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",Retail,AI/ML Solution,35000,High
33,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",E-commerce,AI/ML Solution,75000,High
34,"Can JZD help us build a Chatbot? We are in the Education sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",Education,Chatbot,75000,Medium
35,"Looking for help with Training/Courses for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",Professional Services,Training/Courses,25000,Low
36,"Looking for help with Data Analytics for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹15,000. We would like to start within the next 1–2 weeks.",Retail,Data Analytics,15000,High
37,"We are a Logistics business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹15,000.",Logistics,Chatbot,15000,Low
38,"We are a Education business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹15,000. We are planning this project within the next month.",Education,E-commerce Development,15000,Medium
39,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",E-commerce,Chatbot,75000,High
40,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹250,000.",Education,AI/ML Solution,250000,Low
41,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Manufacturing. Our approximate budget is ₹25,000.",Manufacturing,Chatbot,25000,Low
42,"We are a Hospitality business and need a Mobile App. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We are planning this project within the next month.",Hospitality,Mobile App,150000,Medium
43,"Can JZD help us build a Website Development? We are in the Retail sector and want to get started soon. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Retail,Website Development,150000,High
44,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹50,000.",Retail,Chatbot,50000,Low
45,"We need a Mobile App and would like someone to contact us regarding the project. Our business is in Healthcare. Our approximate budget is ₹35,000. We are planning this project within the next month.",Healthcare,Mobile App,35000,Medium
46,"We are a Education business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Education,E-commerce Development,250000,High
47,"Looking for help with Website Development for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",CA/Accounting,Website Development,25000,Low
48,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Manufacturing. Our approximate budget is ₹250,000.",Manufacturing,Training/Courses,250000,Low
49,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in CA/Accounting. Our approximate budget is ₹150,000.",CA/Accounting,AI/ML Solution,150000,Low
50,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹75,000. We are planning this project within the next month.",Real Estate,Training/Courses,75000,Medium
51,"We are a Healthcare business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",Healthcare,Chatbot,75000,Low
52,"We are a Logistics business and need a Website Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹100,000.",Logistics,Website Development,100000,Low
53,"We are a Logistics business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000.",Logistics,Training/Courses,35000,Low
54,"Looking for help with E-commerce Development for our Healthcare company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Healthcare,E-commerce Development,25000,High
55,"We are a Manufacturing business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Manufacturing,E-commerce Development,50000,High
56,"Can JZD help us build a E-commerce Development? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Logistics,E-commerce Development,150000,High
57,"Can JZD help us build a Chatbot? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹100,000.",Real Estate,Chatbot,100000,Low
58,"Can JZD help us build a AI/ML Solution? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",Manufacturing,AI/ML Solution,75000,Medium
59,"We are a Retail business and need a Website Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Retail,Website Development,250000,High
60,"Can JZD help us build a Chatbot? We are in the Retail sector and want to get started soon. Our approximate budget is ₹75,000.",Retail,Chatbot,75000,Low
61,"Looking for help with Chatbot for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹100,000. We are planning this project within the next month.",Retail,Chatbot,100000,Medium
62,"Can JZD help us build a Automation? We are in the Professional Services sector and want to get started soon. Our approximate budget is ₹15,000. We would like to start within the next 1–2 weeks.",Professional Services,Automation,15000,High
63,"We are a Retail business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",Retail,AI/ML Solution,75000,Low
64,"Looking for help with AI/ML Solution for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We are planning this project within the next month.",E-commerce,AI/ML Solution,75000,Medium
