enquiry_id,text,category,industry,budget_inr,urgency_hint,priority
1,"Looking for help with Website Development for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Website Development,Retail,75000,Low,Low
2,"We need a E-commerce Development and would like someone to contact us regarding the project. Our business is in Healthcare. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Healthcare,25000,High,High
3,"Looking for help with Website Development for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",Website Development,CA/Accounting,25000,Low,Low
4,"We need a Website Development and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Website Development,E-commerce,50000,High,High
5,"Looking for help with Training/Courses for our Education company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Training/Courses,Education,75000,Low,Low
6,"Looking for help with Data Analytics for our Manufacturing company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Data Analytics,Manufacturing,75000,Low,Low
7,"We are a Hospitality business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000. We are planning this project within the next month.",E-commerce Development,Hospitality,25000,Medium,Medium
8,"We need a Data Analytics and would like someone to contact us regarding the project. Our business is in Hospitality. Our approximate budget is ₹75,000.",Data Analytics,Hospitality,75000,Low,Low
9,"Can JZD help us build a E-commerce Development? We are in the E-commerce sector and want to get started soon. Our approximate budget is ₹150,000.",E-commerce Development,E-commerce,150000,Low,Medium
10,"We are a Logistics business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Data Analytics,Logistics,50000,High,High
11,"Looking for help with Chatbot for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000.",Chatbot,CA/Accounting,75000,Low,Low
12,"Can JZD help us build a Mobile App? We are in the Retail sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",Mobile App,Retail,75000,Medium,Medium
13,"Can JZD help us build a Data Analytics? We are in the Healthcare sector and want to get started soon. Our approximate budget is ₹100,000.",Data Analytics,Healthcare,100000,Low,Medium
14,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹50,000.",AI/ML Solution,Retail,50000,Low,Low
15,"Can JZD help us build a Automation? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Automation,Manufacturing,50000,High,High
16,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in CA/Accounting. Our approximate budget is ₹15,000. We are planning this project within the next month.",Chatbot,CA/Accounting,15000,Medium,Medium
17,"Can JZD help us build a E-commerce Development? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Real Estate,50000,High,High
18,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Training/Courses,Education,150000,High,High
19,"Can JZD help us build a Automation? We are in the Healthcare sector and want to get started soon. Our approximate budget is ₹35,000.",Automation,Healthcare,35000,Low,Low
20,"Looking for help with Mobile App for our Logistics company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We are planning this project within the next month.",Mobile App,Logistics,150000,Medium,Medium
21,"We are a Healthcare business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000.",Training/Courses,Healthcare,25000,Low,Low
22,"We are a Healthcare business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",AI/ML Solution,Healthcare,150000,High,High
23,"Can JZD help us build a Mobile App? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Mobile App,Manufacturing,250000,High,High
24,"Can JZD help us build a Website Development? We are in the E-commerce sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Website Development,E-commerce,25000,High,High
25,"Looking for help with E-commerce Development for our Hospitality company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We are planning this project within the next month.",E-commerce Development,Hospitality,75000,Medium,Medium
26,"Looking for help with Website Development for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",Website Development,Professional Services,75000,High,High
27,"Looking for help with E-commerce Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",E-commerce Development,E-commerce,75000,High,High
28,"We are a Healthcare business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",Data Analytics,Healthcare,35000,High,High
29,"We are a Logistics business and need a Data Analytics. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000.",Data Analytics,Logistics,250000,Low,Medium
30,"Looking for help with Automation for our Hospitality company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000.",Automation,Hospitality,50000,Low,Low
31,"We need a E-commerce Development and would like someone to contact us regarding the project. Our business is in Logistics. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Logistics,25000,High,High
32,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹35,000. We would like to start within the next 1–2 weeks.",AI/ML Solution,Retail,35000,High,High
33,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",AI/ML Solution,E-commerce,75000,High,High
34,"Can JZD help us build a Chatbot? We are in the Education sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",Chatbot,Education,75000,Medium,Medium
35,"Looking for help with Training/Courses for our Professional Services company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",Training/Courses,Professional Services,25000,Low,Low
36,"Looking for help with Data Analytics for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹15,000. We would like to start within the next 1–2 weeks.",Data Analytics,Retail,15000,High,High
37,"We are a Logistics business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹15,000.",Chatbot,Logistics,15000,Low,Low
38,"We are a Education business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹15,000. We are planning this project within the next month.",E-commerce Development,Education,15000,Medium,Medium
39,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",Chatbot,E-commerce,75000,High,High
40,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Education. Our approximate budget is ₹250,000.",AI/ML Solution,Education,250000,Low,Medium
41,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Manufacturing. Our approximate budget is ₹25,000.",Chatbot,Manufacturing,25000,Low,Low
42,"We are a Hospitality business and need a Mobile App. We would like to discuss the requirements and pricing. Our approximate budget is ₹150,000. We are planning this project within the next month.",Mobile App,Hospitality,150000,Medium,Medium
43,"Can JZD help us build a Website Development? We are in the Retail sector and want to get started soon. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Website Development,Retail,150000,High,High
44,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Retail. Our approximate budget is ₹50,000.",Chatbot,Retail,50000,Low,Low
45,"We need a Mobile App and would like someone to contact us regarding the project. Our business is in Healthcare. Our approximate budget is ₹35,000. We are planning this project within the next month.",Mobile App,Healthcare,35000,Medium,Medium
46,"We are a Education business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Education,250000,High,High
47,"Looking for help with Website Development for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",Website Development,CA/Accounting,25000,Low,Low
48,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Manufacturing. Our approximate budget is ₹250,000.",Training/Courses,Manufacturing,250000,Low,Medium
49,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in CA/Accounting. Our approximate budget is ₹150,000.",AI/ML Solution,CA/Accounting,150000,Low,Medium
50,"We need a Training/Courses and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹75,000. We are planning this project within the next month.",Training/Courses,Real Estate,75000,Medium,Medium
51,"We are a Healthcare business and need a Chatbot. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",Chatbot,Healthcare,75000,Low,Low
52,"We are a Logistics business and need a Website Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹100,000.",Website Development,Logistics,100000,Low,Medium
53,"We are a Logistics business and need a Training/Courses. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000.",Training/Courses,Logistics,35000,Low,Low
54,"Looking for help with E-commerce Development for our Healthcare company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Healthcare,25000,High,High
55,"We are a Manufacturing business and need a E-commerce Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Manufacturing,50000,High,High
56,"Can JZD help us build a E-commerce Development? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Logistics,150000,High,High
57,"Can JZD help us build a Chatbot? We are in the Real Estate sector and want to get started soon. Our approximate budget is ₹100,000.",Chatbot,Real Estate,100000,Low,Medium
58,"Can JZD help us build a AI/ML Solution? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹75,000. We are planning this project within the next month.",AI/ML Solution,Manufacturing,75000,Medium,Medium
59,"We are a Retail business and need a Website Development. We would like to discuss the requirements and pricing. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",Website Development,Retail,250000,High,High
60,"Can JZD help us build a Chatbot? We are in the Retail sector and want to get started soon. Our approximate budget is ₹75,000.",Chatbot,Retail,75000,Low,Low
61,"Looking for help with Chatbot for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹100,000. We are planning this project within the next month.",Chatbot,Retail,100000,Medium,Medium
62,"Can JZD help us build a Automation? We are in the Professional Services sector and want to get started soon. Our approximate budget is ₹15,000. We would like to start within the next 1–2 weeks.",Automation,Professional Services,15000,High,High
63,"We are a Retail business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",AI/ML Solution,Retail,75000,Low,Low
64,"Looking for help with AI/ML Solution for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹75,000. We are planning this project within the next month.",AI/ML Solution,E-commerce,75000,Medium,Medium
65,"We need a Chatbot and would like someone to contact us regarding the project. Our business is in Hospitality. Our approximate budget is ₹75,000. We would like to start within the next 1–2 weeks.",Chatbot,Hospitality,75000,High,High
66,"We need a Website Development and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Website Development,Real Estate,25000,High,High
67,"Looking for help with Website Development for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹15,000. We are planning this project within the next month.",Website Development,Real Estate,15000,Medium,Medium
68,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹250,000. We would like to start within the next 1–2 weeks.",AI/ML Solution,Real Estate,250000,High,High
69,"Looking for help with Website Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹25,000.",Website Development,E-commerce,25000,Low,Low
70,"Looking for help with Website Development for our E-commerce company. Please let us know the timeline and approximate cost. Our approximate budget is ₹100,000. We would like to start within the next 1–2 weeks.",Website Development,E-commerce,100000,High,High
71,"Can JZD help us build a AI/ML Solution? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹15,000. We are planning this project within the next month.",AI/ML Solution,Manufacturing,15000,Medium,Medium
72,"Looking for help with Data Analytics for our CA/Accounting company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000. We would like to start within the next 1–2 weeks.",Data Analytics,CA/Accounting,50000,High,High
73,"Looking for help with Data Analytics for our Retail company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Data Analytics,Retail,150000,High,High
74,"We are a Education business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹35,000. We are planning this project within the next month.",AI/ML Solution,Education,35000,Medium,Medium
75,"Looking for help with Data Analytics for our Healthcare company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",Data Analytics,Healthcare,150000,High,High
76,"We are a Real Estate business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹25,000. We are planning this project within the next month.",AI/ML Solution,Real Estate,25000,Medium,Medium
77,"Can JZD help us build a Chatbot? We are in the Professional Services sector and want to get started soon. Our approximate budget is ₹50,000. We are planning this project within the next month.",Chatbot,Professional Services,50000,Medium,Medium
78,"Looking for help with Chatbot for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹50,000.",Chatbot,Real Estate,50000,Low,Low
79,"Can JZD help us build a Data Analytics? We are in the Manufacturing sector and want to get started soon. Our approximate budget is ₹75,000.",Data Analytics,Manufacturing,75000,Low,Low
80,"We are a Hospitality business and need a Mobile App. We would like to discuss the requirements and pricing. Our approximate budget is ₹100,000.",Mobile App,Hospitality,100000,Low,Medium
81,"We are a Real Estate business and need a AI/ML Solution. We would like to discuss the requirements and pricing. Our approximate budget is ₹75,000.",AI/ML Solution,Real Estate,75000,Low,Low
82,"Can JZD help us build a Mobile App? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹100,000. We would like to start within the next 1–2 weeks.",Mobile App,Logistics,100000,High,High
83,"Looking for help with E-commerce Development for our Manufacturing company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000. We would like to start within the next 1–2 weeks.",E-commerce Development,Manufacturing,150000,High,High
84,"Looking for help with Website Development for our Real Estate company. Please let us know the timeline and approximate cost. Our approximate budget is ₹150,000.",Website Development,Real Estate,150000,Low,Medium
85,"Can JZD help us build a Mobile App? We are in the Hospitality sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Mobile App,Hospitality,25000,High,High
86,"Can JZD help us build a Data Analytics? We are in the Logistics sector and want to get started soon. Our approximate budget is ₹25,000. We would like to start within the next 1–2 weeks.",Data Analytics,Logistics,25000,High,High
87,"We need a Automation and would like someone to contact us regarding the project. Our business is in E-commerce. Our approximate budget is ₹150,000. We are planning this project within the next month.",Automation,E-commerce,150000,Medium,Medium
88,"We need a AI/ML Solution and would like someone to contact us regarding the project. Our business is in Real Estate. Our approximate budget is ₹50,000. We are planning this project within the next month.",AI/ML Solution,Real Estate,50000,Medium,Medium
